Red,Blue,Green,Yellow,Pink,Black
red,blue,green,yellow,pink,black
that's,men,c.,have you,thanks,none
right,hey,great,yeah you,think,the night
reds,again,really,yeah,st,not
riots,then,me,hello,i'm,and i
it's,none,reid,yeah i know,bang,mac
eyes,lynn,ring,yes,hey,but
and,you're,three,yet,hank,that
brent,i am,they,no,good,done
the,lou,bernie,yet no,if,hi
men,um,good,yeah though,i,then
maine,hi,oh,yeah that,great,the lab
but,o. k.,okay,yes oh,hi,men
it,the men,ray,you know,they,back
bank,it is,cream,yeah and,hang,land
okay,you,i mean,so,i mean,let
bang,there,being,yeah so,payment,yeah
they,uh huh,king,yeah but,kang,no
frank,two,again,young,i think,it
go ahead,when,team,here,key,lat
ed,yes,thirteen,galen,king,
may,do,dean,him,paint,oh
mate,yeah,jane,yemen,tank,hey
dead,live,name,hill,kate,uh huh
may i,no,i think,in them,pang,huh
made,who,a team,yep,hanged,lab
meant,i,the team,him or,thank you,why
now did,it,game,you are,hangout,line
thanks,play,pain,he ever,whoops,laugh
rent,to lynn,creamed,here are,and they,lange
bet,blend,bean,she ever,panky,yes
read it,larry,mean,yeah man,couldn't it,blank
beds,flynn,greens,you,things that,when
the end,shh,amen,yams,it did,fine
may it,blood,eighteen,yeah no,that good,let me
it may,blame,kane,yelling,hey look,blind
meg,plant,renewed,yeah now,ink,let the
banks,playing,the aim,you will,hang up,good day
melt,plain,kidding,hammer,what,monday
next,blink,,he alone,hang on it,let it be
yet,elaine,,yum,,let it
mint,plenty,,yeah room,,led by
good,blaine,,ever,,i did
hank,good,,terror,,lacking
,lead,,yeah mom,,light
,glenn,,yeah mum,,but they
,play it,,cameron,,black bag
,play in,,yeah monk,,
,brian,,yelled,,
,player,,yeah mill,,
,linda,,,,
,bled,,,,
,later,,,,
,liz,,,,
,lids,,,,
