Red,Blue,Green,Yellow,Pink,Black
red,blue,green,yellow,pink,black
that's,men,c.,have you,thanks,the night
right,hey,great,yeah you,think,not
reds,again,really,hello,st,and i
riots,then,me,yeah i know,i'm,mac
it's,none,reid,yet,bang,but
eyes,lynn,ring,yet no,hank,that
and,you're,three,yeah though,if,done
brent,i am,they,yeah that,hang,the lab
the,lou,bernie,yes oh,i mean,back
maine,um,good,you know,payment,land
bank,hi,oh,yeah and,kang,let
frank,o. k.,okay,so,i think,lat
go ahead,the men,ray,yeah so,key,
ed,it is,cream,yeah but,paint,huh
may,you,being,young,tank,lab
mate,there,king,here,kate,why
dead,uh huh,team,galen,pang,line
may i,two,thirteen,him,hanged,laugh
made,when,dean,yemen,thank you,lange
meant,yes,jane,hill,hangout,blank
now did,do,name,in them,whoops,fine
rent,yeah,a team,yep,and they,let me
bet,live,the team,him or,panky,blind
read it,no,game,you are,couldn't it,let the
beds,who,pain,he ever,things that,good day
the end,i,creamed,here are,it did,monday
may it,it,bean,she ever,that good,let it be
it may,play,mean,yeah man,hey look,let it
meg,to lynn,greens,yams,ink,led by
banks,blend,amen,yeah no,hang up,i did
melt,larry,eighteen,yelling,what,lacking
next,flynn,kane,yeah now,hang on it,light
mint,shh,renewed,you will,,but they
,blood,the aim,hammer,,black bag
,blame,kidding,he alone,,
,plant,,yum,,
,playing,,yeah room,,
,plain,,ever,,
,blink,,terror,,
,elaine,,yeah mom,,
,plenty,,yeah mum,,
,blaine,,cameron,,
,lead,,yeah monk,,
,glenn,,yelled,,
,play it,,yeah mill,,
,play in,,,,
,brian,,,,
,player,,,,
,linda,,,,
,bled,,,,
,later,,,,
,liz,,,,
,lids,,,,
